Minisector,HAM,ZHO,Fastest
0,313.1514567107648,319.64879388070176,ZHO
1,319.4471454476367,337.3572294372294,ZHO
2,312.2917597667909,339.9626063168015,ZHO
3,191.38476517025333,183.12442725824653,HAM
4,128.98795271314955,125.72259186549225,HAM
5,262.1715065361004,261.1133280782222,HAM
6,294.80216938919796,298.9734693877551,ZHO
7,306.8616796313398,312.6089028266667,ZHO
8,266.63794228220604,253.99948095238094,HAM
9,145.15326818512068,142.00850464267643,HAM
10,218.71538198997146,206.0043804016182,HAM
11,217.69430061982405,203.4220605526161,HAM
12,194.001836710969,179.1207172297134,HAM
13,260.3729807289932,265.7247391476011,ZHO
14,298.4697308407786,310.697556475188,ZHO
15,306.70621028317464,329.805294117647,ZHO
16,259.81788208672447,259.09761304446596,HAM
17,214.39703389148536,197.8763787878788,HAM
18,274.30778562081053,269.07616185958017,HAM
19,302.21061765234566,305.8864821428571,ZHO
20,312.39520204924435,319.5733135591232,ZHO
21,296.8620503689459,294.9829329004329,HAM
22,210.9440812608603,189.29970008357307,HAM
23,263.84277070341557,262.4020995670996,HAM
24,296.3341414177048,302.0383729749024,ZHO
25,307.2166670222222,315.0,ZHO
