Minisector,PER,GAS,Fastest
0,295.0919094648039,290.65192311794874,PER
1,163.7844296701039,159.53220767783338,PER
2,156.09602221598618,153.04276129317523,PER
3,223.31194418154442,222.30913978494624,PER
4,285.800550466905,283.56116671699755,PER
5,293.49253662710623,289.73904761904765,PER
6,149.68121523781906,146.29765568166556,PER
7,142.89747687978632,142.66127055486936,PER
8,146.33749920106442,146.66888938809257,GAS
9,181.6861572522067,181.4414600078612,PER
10,131.62142551025863,134.8563572998248,GAS
11,131.02957066148863,130.38348985338664,PER
12,166.83584693810937,162.21047224281935,PER
13,268.34547704397744,265.1409968315801,PER
14,290.2733466675111,290.85763888888886,GAS
15,153.68074733974873,152.30860578357058,PER
16,214.87273410455987,212.05621787481877,PER
17,164.70468574833328,167.08995653941153,GAS
18,268.0762108124137,267.60500946867245,PER
19,291.4435898666667,290.4425843809524,PER
20,305.43113247593055,302.5915427111111,PER
21,313.3581349079365,310.36805555555554,PER
22,315.9961956637681,314.33659422608696,PER
23,316.63888893333336,315.77527136598155,PER
24,313.601948000303,311.8134999466667,PER
25,309.0,,PER
