Minisector,GAS,STR,Fastest
0,281.5261190722689,279.38102085925925,GAS
1,122.373888161434,128.5090717323497,STR
2,159.74529465477474,156.31287131224667,GAS
3,208.11331198429508,217.81270349357698,STR
4,158.3859216190444,157.99373828834155,GAS
5,240.8568425237423,236.8902547879718,GAS
6,210.62973410909092,209.4191599861472,GAS
7,134.70764560217486,135.10552598639455,STR
8,230.74312565333335,229.62038471619047,GAS
9,274.2373404116364,273.6544360784888,GAS
10,284.64926437647057,283.26519730196077,GAS
11,144.55513297839016,147.24474928178515,STR
12,214.3083881004329,219.37454479092972,STR
13,268.30374715518207,268.1468063739909,GAS
14,266.4443288296296,270.50763461415096,STR
15,98.66388999663333,103.58548160599034,STR
16,219.78541760725625,210.09014962424243,GAS
17,269.6346725175271,265.7297803819905,GAS
18,290.03286539039067,289.9741897547969,GAS
19,299.9408334222222,300.22827375238097,STR
20,304.32055566222226,300.12083333333334,GAS
21,283.07715275879633,279.3615231372549,GAS
22,154.99495920505058,151.4544384865813,GAS
23,234.2809222736842,227.10158613333334,GAS
24,274.36898204444446,270.3630365982317,GAS
25,,280.02142811428575,STR
