Minisector,VER,LEC,Fastest
0,285.97583047978196,295.30379587160496,LEC
1,160.00610524202483,163.46209916813208,LEC
2,172.8294051410101,171.24850044732497,VER
3,249.60761829159512,250.78502474933828,LEC
4,282.4969195160091,282.75977636598617,LEC
5,248.27040593902368,250.97287766105399,LEC
6,226.7364299134694,231.9721553772431,LEC
7,158.3451073718656,159.4564493030486,LEC
8,233.182187527384,225.6261031490338,VER
9,278.1205567106221,278.70274790549706,LEC
10,296.39836716843536,298.69637844771916,LEC
11,304.7436645023888,313.7280409252141,LEC
12,309.0058927817143,320.02708330666667,LEC
13,306.5375298961378,318.29162936485307,LEC
14,136.4233528669611,130.15699063942546,VER
15,120.59691776731084,119.52402038507576,VER
16,95.91733902264612,96.11441288066919,LEC
17,230.87106383726086,228.12877886740654,VER
18,282.28813740190475,281.30411525950115,VER
19,302.38512519227953,302.0622145702924,VER
20,314.284644587726,313.8088477970068,VER
21,315.2131060214668,310.7365010088515,VER
22,121.06716170865445,130.14806538584284,LEC
23,202.38749713617744,200.8803892648902,VER
24,267.81153377212,268.9260137012746,LEC
25,,287.2159069090909,LEC
