Minisector,HAM,KVY,Fastest
0,300.9833785154457,338.06706171951225,KVY
1,234.64661655931758,268.7070096916104,KVY
2,144.47278019937434,126.84751417046914,HAM
3,223.16280782271892,218.82916666666665,HAM
4,265.98172298001623,262.75478294581364,HAM
5,291.0636072296228,289.0152057743316,HAM
6,305.6183913155296,305.0,HAM
7,285.5165503717188,290.541238147081,KVY
8,182.1755850258952,177.413174427975,HAM
9,244.21029306591578,240.94585182567266,HAM
10,274.2241464520154,271.5865671705156,HAM
11,264.20799794473555,262.1324263802954,HAM
12,213.39959655175798,204.13717106512965,HAM
13,132.69252359693888,133.5080098008576,KVY
14,130.6353447070586,125.16634406048738,HAM
15,170.56339281382964,169.1508996718491,HAM
16,129.86125980904532,122.80223847090522,HAM
17,236.53656856727176,229.71774216604302,HAM
18,190.24625947251775,187.2298813388211,HAM
19,169.8980569492629,163.038624940857,HAM
20,248.43048434246458,246.57066127694148,HAM
21,276.2262706171213,277.90874762570786,KVY
22,292.69839491383385,292.336864075257,HAM
23,302.51054420965903,303.0760544157587,KVY
24,308.32675653816284,309.005857721165,KVY
25,,310.0,KVY
