Minisector,HAM,LEC,Fastest
0,261.7063930095161,256.02913294216023,HAM
1,216.35432116989247,235.01472517732768,LEC
2,141.0577426816193,145.3073376231884,LEC
3,230.10735023893002,237.24539947805502,LEC
4,269.33421733052717,268.70950024533334,HAM
5,179.4951715273049,183.59259511056024,LEC
6,99.80420220969494,101.25820431435366,LEC
7,136.12415267396324,133.89440570444427,HAM
8,248.21667628464013,246.49358519082892,HAM
9,163.54508503826548,172.5611331082045,LEC
10,183.91286087406635,184.79756818622118,LEC
11,253.99272339004102,254.62490142023395,LEC
12,234.16182269162562,237.60344694819034,LEC
13,251.30990791991533,258.2164088863064,LEC
14,279.12323336811596,280.5070655536232,LEC
15,264.7504620355624,279.3800998406391,LEC
16,141.32097813173547,136.8947975259182,HAM
17,232.0618028586884,229.68853669646577,HAM
18,278.93904751701865,276.1411741415546,HAM
19,290.7713767884058,285.18134056811596,HAM
20,295.06159411014494,286.546221720911,HAM
21,300.83829363809525,291.89402179710146,HAM
22,148.51642731731155,141.92322183831067,HAM
23,84.79528129856695,79.3728526300439,HAM
24,168.27287129174152,158.09212573486363,HAM
25,241.88333226666666,,HAM
