Minisector,BOT,VER,Fastest
0,260.46958825253944,259.17035879569414,BOT
1,127.97376075698023,134.28416441603588,VER
2,199.7058418713599,191.77074895770562,BOT
3,249.5677565681332,243.53333333333333,BOT
4,261.11200323331275,253.63769043900885,BOT
5,173.8250127719009,178.46078433699898,VER
6,148.58009484201762,147.10689117512922,BOT
7,187.84972934813374,179.33105232899464,BOT
8,102.3018259137728,104.08326029919525,VER
9,73.43682820148234,75.79427630837702,VER
10,95.18489328724894,93.88188487278094,BOT
11,186.22823158731606,175.90819422401765,BOT
12,248.1137978048852,238.24938528681884,BOT
13,273.19842151036636,248.7499996952381,BOT
14,286.2705907685698,266.51058178451484,BOT
15,118.1388824123364,115.61495499415986,BOT
16,144.35502842014236,146.7208824190481,VER
17,187.14288683657304,188.05995091626914,VER
18,200.6414766416405,193.23917902236744,BOT
19,212.40826729354444,204.50164320874867,BOT
20,138.62345877016028,138.7543742517489,VER
21,114.27818175361158,112.94851632758677,BOT
22,94.0186509874342,94.5780395454079,VER
23,196.1465654717165,193.57995725440725,BOT
24,254.2392102869235,247.03990231843753,BOT
25,,262.2166656,VER
