Minisector,ALO,STR,Fastest
0,297.90639228799273,297.2372303470605,ALO
1,217.11934875943413,209.34275672454513,ALO
2,229.0540914499734,225.11109243956042,ALO
3,276.8397590499766,275.33324595070707,ALO
4,255.8835579302603,242.56484712695251,ALO
5,124.30794168354858,128.51741672791934,STR
6,215.02034943472316,213.60159037333332,ALO
7,259.8685587790505,260.36811526402346,STR
8,246.45405994314464,254.29975854294784,STR
9,244.00429489631833,235.41274638857612,ALO
10,275.0069468073439,273.97907777998165,ALO
11,292.22218067555553,291.64676226449757,ALO
12,299.81751491742,304.06505959619045,STR
13,301.7314044337397,314.1774967906878,STR
14,297.4502138377335,316.7339777134802,STR
15,254.8498521138189,261.4123943449205,STR
16,244.766862488658,246.96896094126984,STR
17,279.63676206560535,282.3695129662467,STR
18,287.1603615425837,301.27492570971424,STR
19,161.66598786574755,156.95873879106801,ALO
20,210.96600402068026,212.8363876089436,STR
21,188.68841130091604,197.15941985094017,STR
22,145.59559190554305,135.85304422767678,ALO
23,242.79787736684145,233.38097872270762,ALO
24,283.46329660709506,278.5828581498182,ALO
25,294.8214290285714,292.04,ALO
