Minisector,RIC,GAS,Fastest
0,267.9430051050273,268.42409205813465,GAS
1,228.56217187061472,249.1041565732531,GAS
2,109.6599324264106,108.59874045616219,RIC
3,178.72484525641963,176.4131361035211,RIC
4,174.2087575861824,164.3826246293563,RIC
5,211.56437422821938,207.23016592342077,RIC
6,265.8887319723426,265.5573084886128,RIC
7,278.1983004491228,285.21,GAS
8,178.417821938093,173.4083968547277,RIC
9,139.64605764094458,126.35010962862142,RIC
10,129.6264156025939,130.16929667487506,GAS
11,190.18604460919946,186.3588888116475,RIC
12,206.27860140913813,215.25615477450933,GAS
13,124.48694042041122,127.42228817192465,GAS
14,141.93313602242438,147.7514905025641,GAS
15,118.12268359998808,108.9145174393193,RIC
16,245.1985925953692,249.20706967373323,GAS
17,134.4639665585316,144.33480467933555,GAS
18,192.43925169509515,192.23669738684833,RIC
19,120.004130923468,121.43712920682786,GAS
20,123.80248365801368,126.39505611670907,GAS
21,113.17011673512887,116.80522567670758,GAS
22,134.64771441641005,136.7679850804866,GAS
23,209.8528123828259,210.7912111187341,GAS
24,226.4528624404152,226.69448921873445,GAS
25,254.82954472727272,,RIC
