Minisector,HAM,VET,Fastest
0,278.14003612753623,278.3952726510947,VET
1,295.8895834133333,295.85768951150317,HAM
2,233.30048623194116,233.62115223288555,VET
3,118.7480900135473,115.71665541666941,HAM
4,137.3207853438811,134.3917652825397,HAM
5,249.05833370793653,248.20312484444446,HAM
6,250.03655705979128,255.96503638260867,VET
7,124.15321705028276,125.38921182163705,VET
8,244.59670182222223,246.62362845548654,VET
9,255.49882811549583,249.38861615238093,HAM
10,205.46537305747125,205.55818942528737,VET
11,142.69321105638375,137.89978759909297,HAM
12,205.04285718095238,206.91348314398013,VET
13,257.65456966211974,264.94483295584416,VET
14,122.45433459817033,118.02672930961366,HAM
15,185.83246077049196,187.44322361561964,VET
16,254.01323489723825,255.10942042898552,VET
17,287.2783333333333,288.7774802008246,VET
18,302.74402778753273,305.58728061754385,VET
19,309.9454365206349,313.2955358171429,VET
20,312.1868749866667,317.4213237249904,VET
21,162.8582942084716,156.62509329693697,HAM
22,148.8183863834291,153.287629335182,VET
23,201.65355509475813,198.82984579879536,HAM
24,235.3615385846154,235.26545895466668,HAM
25,264.9833344,,HAM
