Minisector,RAI,RIC,Fastest
0,277.2045580603281,280.20362291937414,RIC
1,294.53183153470513,305.2964230001713,RIC
2,294.36285331833363,290.89808464595325,RAI
3,179.71183566920502,174.2699952492998,RAI
4,119.94189448073466,119.27102782470593,RAI
5,238.8963273119702,236.63771132340156,RAI
6,283.7657671776743,287.9244804132433,RIC
7,297.8082211962497,298.14020876405897,RIC
8,169.57514548249972,160.8486208868112,RAI
9,136.97699393821088,141.27621888952953,RIC
10,252.70012104738007,254.64270945118844,RIC
11,289.3753323577253,294.28878448197526,RIC
12,302.1140916201771,296.3871279465713,RAI
13,283.65123246304887,272.67038140389394,RAI
14,302.1896693987062,299.9130556327314,RAI
15,305.7066790202212,302.47058129130903,RAI
16,252.36918202888305,234.73874666390267,RAI
17,218.3110356800671,218.54624497692285,RIC
18,282.9621309333183,285.5883849823753,RIC
19,311.16469048399887,317.59718901447803,RIC
20,319.3042039458825,321.12034962150665,RIC
21,232.50989237901604,213.06147876899556,RAI
22,262.22683597547604,253.97375485688792,RAI
23,139.16612976642836,133.5245402929863,RAI
24,209.39129031197567,218.68263132377837,RIC
25,256.7666645333333,,RAI
