Minisector,NOR,RUS,Fastest
0,293.7219849658483,290.0980101213033,NOR
1,297.61201383269844,298.598423032381,RUS
2,158.30731140691864,162.68817001018962,RUS
3,223.7675557584314,219.6662554800334,NOR
4,273.00879491947956,272.19743430666665,NOR
5,294.0117904175824,293.2024909622222,NOR
6,304.9210671902041,303.76365076768957,NOR
7,170.32775946615928,179.51176731417561,RUS
8,136.24132270727208,128.88466784963776,NOR
9,250.5347003071522,249.6127011038384,NOR
10,285.7466986773333,285.01611791157893,NOR
11,296.6103913677675,294.3050320097959,NOR
12,144.39063216414166,142.296914674131,NOR
13,193.07327813175343,188.3530747141531,NOR
14,259.0652911117576,255.8678566255639,NOR
15,200.54196536507936,200.8051764220677,RUS
16,219.91191826123324,215.3264306521574,NOR
17,215.16390340102564,211.45266122011697,NOR
18,249.5850516754838,238.9854671613877,NOR
19,279.99807043160496,273.0024491614815,NOR
20,296.62709414603177,290.9849535407408,NOR
21,269.48193639619046,268.47176767105117,NOR
22,220.7569754593524,217.12057855093272,NOR
23,200.16495824,191.0005127759707,NOR
24,264.7546632228572,257.8172712928989,NOR
25,,279.5999992888889,RUS
