Minisector,VET,HAR,Fastest
0,259.6154458542846,244.97685222665177,VET
1,300.72642291127465,282.0063492063492,VET
2,174.853126849929,172.2717093252151,VET
3,166.5656295765518,161.11708501247793,VET
4,259.4480357942857,255.50009755028796,VET
5,268.5890937792245,271.12675848875267,HAR
6,224.38237206153846,223.6851816114612,VET
7,199.0574409322571,198.56846039908322,VET
8,158.5844106213642,159.33269275989733,HAR
9,222.4589178062861,218.5290732610403,VET
10,275.2999374275689,269.9022963109104,VET
11,134.39182191635612,128.1032547280844,VET
12,221.7773829121398,217.16309379047618,VET
13,282.3942461968254,274.63477298219385,VET
14,304.3893546799019,296.15814519498747,VET
15,310.57523176296297,304.18947368421055,VET
16,241.8866660266667,229.96967428906606,VET
17,130.82265250294665,129.06756322882512,VET
18,133.4126704253968,128.42909613743808,VET
19,121.83685040329426,118.13613270903126,VET
20,224.7307623862857,224.4684996693333,VET
21,250.37770597543772,254.27030930888802,HAR
22,236.61718778514285,224.18493706666666,VET
23,219.79124951583495,207.23619121729178,VET
24,134.4963148580139,135.7396534074729,HAR
25,221.93333333333334,,VET
