Minisector,HAD,GAS,Fastest
0,276.3257936507936,271.2065754764237,HAD
1,118.09218004218005,115.50759569538658,HAD
2,157.60149572649573,163.81471088435373,GAS
3,203.7730303030303,192.31853847107098,HAD
4,166.2355,167.6999542124542,GAS
5,239.28645181978516,238.61551951994045,HAD
6,205.1676524099777,178.9204959649404,HAD
7,134.02660430839003,141.32467121963805,GAS
8,239.50073353091352,242.53982683982684,GAS
9,283.18515625,286.3399074311111,GAS
10,278.949452508276,267.44181695049747,HAD
11,151.273419131145,145.6130114593269,HAD
12,225.98000000000002,233.1881704155875,GAS
13,276.39070751630004,281.3851587301587,GAS
14,250.07198879551822,229.51857424954645,HAD
15,103.47280922466236,102.2424863080122,HAD
16,232.20677295407944,236.19991692088888,GAS
17,290.46345512777776,300.22523809523807,GAS
18,313.746918767507,318.6573531228632,GAS
19,320.07261904761907,326.18952389333333,GAS
20,313.5020685009705,326.3954545454545,GAS
21,285.48058783321943,213.6229141034119,HAD
22,159.86909729061657,153.09668771695254,HAD
23,241.74427539289857,246.96199477583482,GAS
24,282.218492063492,286.1647079690631,GAS
25,286.0,,HAD
