Minisector,NOR,ALB,Fastest
0,297.28733837627175,306.8020739514375,ALB
1,208.33898080235372,186.55677398369554,NOR
2,225.57044052249216,227.1411014810778,ALB
3,275.7038947614446,277.819088274882,ALB
4,246.9546750818481,218.4358320068884,NOR
5,132.3168810970244,122.78533342149167,NOR
6,209.78813641446874,203.66368264866685,NOR
7,244.70309500283705,246.10881875132088,ALB
8,239.01352247412495,215.97511909942537,NOR
9,232.35749130676643,230.88671146751543,NOR
10,274.4099970025198,275.16091271425745,ALB
11,289.2066307832125,294.08914417868505,ALB
12,293.46846754156434,309.8171424332572,ALB
13,295.3835993563407,323.67946106771325,ALB
14,295.5775414105806,326.99956925464124,ALB
15,249.21648277525335,226.58760570676938,NOR
16,239.5018793722142,230.4357377140614,NOR
17,277.8640346751868,289.3713045778363,ALB
18,289.3487023809524,290.56806784681174,ALB
19,157.7630143597912,139.3668416760933,NOR
20,212.1331632852725,191.6554976089204,NOR
21,174.3545405490031,128.5349770354686,NOR
22,146.5395428359409,152.01700202964145,ALB
23,245.47693788937752,254.55935463792557,ALB
24,284.28237131221374,300.37013792275417,ALB
