Minisector,LEC,PER,Fastest
0,303.5980260484738,306.3261905710053,PER
1,214.8144199876923,210.69279362044983,LEC
2,137.53206698311251,136.44185057324535,LEC
3,211.8877557638095,217.74559006407196,PER
4,157.34306207170306,152.3268646047916,LEC
5,175.66355293107344,171.74237594409277,LEC
6,251.56616661327325,249.8039828088889,LEC
7,279.4616671466666,277.98624473565405,LEC
8,285.5769841777778,287.76676489680676,PER
9,259.6909656623633,264.69729106666665,PER
10,243.68277854814812,244.1464697000055,PER
11,241.52937933524512,243.99836487619046,PER
12,206.7679861111111,210.15917530848316,PER
13,136.7280072525249,134.24288029984243,LEC
14,140.26968725467785,143.24268536154008,PER
15,179.42039827365227,178.0372546830142,LEC
16,252.98717671111112,255.84476186681968,PER
17,240.71165151227797,234.17848878730157,LEC
18,112.73415036432056,109.04599767284691,LEC
19,196.6594401558181,192.8183142505301,LEC
20,196.24288234901098,189.38344976143,LEC
21,231.87728788340155,231.3921449772171,LEC
22,263.8221580347475,271.1555288751839,PER
23,282.93211924847185,296.95230354043235,PER
24,297.35070958379583,314.06797517377856,PER
