Minisector,RAI,OCO,Fastest
0,235.36296355555555,230.10547792038759,RAI
1,285.9067179218574,288.00334437732425,OCO
2,298.0747024761905,304.55912685714287,OCO
3,303.13401794285716,310.8763813085826,OCO
4,273.3605684095014,275.1916695111111,OCO
5,176.21921986499441,168.95587219905553,RAI
6,265.8526292952381,264.0620893218775,RAI
7,283.3672401121329,284.1866071203463,OCO
8,220.61633574421768,206.1999592415361,RAI
9,219.98908190506324,220.72751233015873,OCO
10,189.1076471180375,181.09040716188542,RAI
11,227.76682240000002,226.02420504126985,RAI
12,209.40187209750658,197.7624842662947,RAI
13,217.25950703164008,210.54815107278725,RAI
14,223.78642113580247,219.28139587863888,RAI
15,184.58476140698414,177.2360709102769,RAI
16,248.81201518397393,248.6747028529254,RAI
17,291.75102843290045,296.67778832503245,OCO
18,308.57062522666666,314.6350394590476,OCO
19,294.6604406428088,305.8044913728393,OCO
20,129.87344524522823,127.14695178839996,RAI
21,167.67634956824543,159.8071960521283,RAI
22,149.76452387164525,147.34788548414173,RAI
23,206.77606681123632,200.86597373430635,RAI
24,142.79241348207574,141.8331850800803,RAI
25,,149.16249919999998,OCO
