Minisector,VET,GAS,Fastest
0,268.2828426666667,263.6440829131653,VET
1,300.60975389306446,293.2515620666667,VET
2,316.2333688373484,315.36209208970894,VET
3,325.4307935593651,330.58422636190477,GAS
4,330.69006005905055,339.2982141069597,GAS
5,332.8705356952381,344.20554036043956,GAS
6,287.81960784313725,277.4975027795856,VET
7,114.35888239901217,113.21671852666665,VET
8,150.72452366730158,156.35287271724135,GAS
9,255.1195272871463,257.2599523386243,GAS
10,292.6343748666667,298.78697581354453,GAS
11,247.76506889624062,227.82751298791732,VET
12,92.96323903895318,94.56002117162294,GAS
13,110.1733418112866,110.8245758289521,GAS
14,217.07024707720524,216.99621158787878,VET
15,193.63249975466667,182.93492403559435,VET
16,227.19856372975832,222.14384893968253,VET
17,191.57023110699512,186.79183651442844,VET
18,226.15134814409512,227.99416544000002,GAS
19,277.0169118745098,274.30031459495797,VET
20,293.4182637091262,283.37519985022567,VET
21,155.55032927947457,151.77046917112136,VET
22,104.075073738717,102.09402328559904,VET
23,120.5268991692916,124.02723856874505,GAS
24,206.88623188405796,208.82718210612242,GAS
