Minisector,BOT,RIC,Fastest
0,295.1484610318559,291.00545153576536,BOT
1,305.5606515328321,300.4199544743764,BOT
2,310.34765022892225,305.65977251466916,BOT
3,310.77258773333335,300.5907927223434,BOT
4,211.49549333383248,203.4639485998577,BOT
5,229.60329205489566,224.0883009622081,BOT
6,273.69504044535705,268.14756669482404,BOT
7,281.28709659399584,275.32123808431385,BOT
8,199.37137114838708,197.63206008553462,BOT
9,161.20868614150945,163.29085753070177,RIC
10,194.61817808631315,183.98149787677679,BOT
11,266.00925647026065,259.16289643809523,BOT
12,260.7577906285714,257.5202906898551,BOT
13,237.92212163444353,234.62133996038847,BOT
14,279.0037876363636,267.96931409849225,BOT
15,185.98270672555935,185.03308964372562,BOT
16,228.28564732839507,223.34363196256228,BOT
17,249.7561639100539,252.20512866562237,RIC
18,143.10077933837928,139.1328224230869,BOT
19,247.8044889198157,238.63303497728936,BOT
20,285.3550862822511,278.89867779894405,BOT
21,258.94321277518713,269.8418831461753,RIC
22,153.34130679197727,151.32392134356652,BOT
23,221.4375908549671,212.3629658566682,BOT
24,277.22865217662337,269.06464140957394,BOT
25,289.52916693333333,283.9071414857143,BOT
