Minisector,RAI,NOR,Fastest
0,275.02686635650025,278.3820327958453,NOR
1,301.3763883259259,301.28946051764706,RAI
2,315.8752227904762,313.6059522330532,RAI
3,323.76936250980395,321.62426453333336,RAI
4,328.87959483207345,325.77199934365484,RAI
5,331.4270833333333,327.7318627137255,RAI
6,219.65790994285715,209.54241437128138,RAI
7,105.70695545400214,106.18198191207952,NOR
8,185.30892601904762,185.24777882159833,RAI
9,264.2894036342857,263.87229111619047,RAI
10,294.6944436740741,294.043570378695,RAI
11,180.1204845991999,161.64065305546217,RAI
12,94.59300322272348,99.04854643211242,NOR
13,114.18718563152504,115.55527841274177,NOR
14,223.75049596825397,223.8018370915114,NOR
15,182.51522275981895,187.62463735671213,NOR
16,220.0592756825397,225.47634574575568,NOR
17,181.6010239565627,182.40583652936,NOR
18,232.99426243463205,241.03133987246375,NOR
19,278.4017533754386,283.25460502456144,NOR
20,261.22564181523285,249.08873979740505,RAI
21,142.68190832280703,144.74137757323035,NOR
22,96.11018198929767,95.1268158035062,RAI
23,124.10170423167125,125.4526871493254,NOR
24,226.15781053333333,232.34039795942027,NOR
