Minisector,SAI,TSU,Fastest
0,247.03045579130435,242.781159910559,SAI
1,283.1650904032455,275.15085440969466,SAI
2,172.10626305158405,182.9304725157248,TSU
3,153.96977037577054,152.22201796695202,SAI
4,256.84786439903235,255.26864764062537,SAI
5,270.52029810457225,272.2559846254545,TSU
6,223.49621379124798,236.8581376586166,TSU
7,202.93445550239738,206.3075609900408,TSU
8,159.13808635501184,165.35834778571427,TSU
9,209.79457359113678,215.09640842221015,TSU
10,273.4009427161482,269.33492656012646,SAI
11,124.26814229814171,129.5697610196971,TSU
12,202.5067891722046,207.70803672222223,TSU
13,270.18307157281265,268.0663404502971,SAI
14,292.20416914189894,289.52613993425047,SAI
15,302.2983332495238,299.1018884237873,SAI
16,231.7553519704435,243.58162994212603,TSU
17,132.60924538936757,137.00819961971206,TSU
18,129.4282168555215,136.7842341080681,TSU
19,116.6575243021261,126.6806515952237,TSU
20,226.81036905523587,225.39758392685715,SAI
21,260.7100314362323,258.8793757135161,SAI
22,231.0529798163811,237.1070687296865,TSU
23,215.12024245486703,216.5545076201092,TSU
24,136.94935101261,136.73315266816945,SAI
25,214.0,,SAI
