Minisector,HAM,BOT,Fastest
0,291.57265029774436,315.83664023703705,BOT
1,241.48713986216453,242.90601878437383,BOT
2,150.08819368888888,153.22445160550447,BOT
3,230.1506712665102,228.0376110131757,HAM
4,167.03515683333333,161.04537011131245,HAM
5,177.275164350384,174.330931816159,HAM
6,249.76249945396825,250.67961621469368,BOT
7,272.96166645333335,273.6975002666667,BOT
8,281.10241218245613,277.4549392655999,HAM
9,273.8921057122807,258.93052941646266,HAM
10,253.38730143492063,243.41131022222223,HAM
11,256.07122570582015,241.0607591442118,HAM
12,218.72812573333331,212.58086260380705,HAM
13,150.84945775800796,151.05252607884628,BOT
14,164.05669258528138,157.33781819522656,HAM
15,188.7184093472662,193.02278358601686,BOT
16,258.5367057777778,260.93871084632826,BOT
17,249.341452887909,241.37021914820446,HAM
18,120.05400613461885,118.71449540187413,HAM
19,203.65145172912665,201.24861021234568,HAM
20,200.41719621305114,182.20904709411386,HAM
21,234.06627888997164,205.9283656609452,HAM
22,264.84323661027486,250.49598343411157,HAM
23,281.70739312280705,273.33306768352355,HAM
24,292.456385762145,288.24395353182956,HAM
