Minisector,HAM,ALO,Fastest
0,306.0316470603174,299.52328707261836,HAM
1,244.96687550461772,238.0265144577573,HAM
2,193.56909680436925,196.53617646867673,ALO
3,266.57718881347495,264.4246260825397,HAM
4,216.45494155558166,225.48455029978953,ALO
5,110.41729913786064,110.11583959917385,HAM
6,173.13683051916567,172.95846680857125,HAM
7,257.96983481958847,253.19856434022986,HAM
8,288.5947243804096,281.2247204504203,HAM
9,303.24444462222226,297.094000128,HAM
10,307.4059527241083,300.4279513777778,HAM
11,239.24290453350758,229.82495221113834,HAM
12,143.9463807458478,147.32625817388558,ALO
13,255.73573909590402,255.13213701105087,HAM
14,290.39817693845754,286.69424406391846,HAM
15,298.6671664213333,296.2683333546667,HAM
16,290.240624984127,291.1649320636292,ALO
17,243.9597886646489,246.18002629885058,ALO
18,170.69292420101627,174.7357013786482,ALO
19,182.47203214134683,177.99991111042388,HAM
20,174.18832648043266,174.2607017714286,ALO
21,238.57170568386636,240.87654583192042,ALO
22,120.1460903709008,118.99604565116725,HAM
23,199.20306352757555,200.25305642202443,ALO
24,281.4653691303709,279.9050319464367,HAM
25,295.10833386666667,,HAM
