Minisector,VET,OCO,Fastest
0,269.34226224761903,263.4464423883422,VET
1,133.1527647233081,125.25379858083234,VET
2,189.55119020288296,196.53593351303692,OCO
3,244.9686952241037,246.8445494996683,OCO
4,264.8905023701038,259.44451921379425,VET
5,180.46834909358407,170.09047679999998,VET
6,142.50968577079524,139.93435206379786,VET
7,181.0497347403224,179.9230002319223,VET
8,100.61759170747017,102.90476983424813,OCO
9,74.28042562703955,73.12833025009266,VET
10,92.80726406280677,92.91143632657379,OCO
11,171.10204115392185,173.0349976877548,OCO
12,243.06054292619612,243.8162604272216,OCO
13,271.45641066666667,271.0755046362055,VET
14,282.8998751414233,281.0437978139194,VET
15,114.93294719014311,114.28367537536977,VET
16,139.0366812577581,136.42665962171768,VET
17,191.8842917240482,182.41059147282493,VET
18,195.73556114055677,191.76916678141592,VET
19,224.70202489923065,209.63299413893768,VET
20,130.44184207842662,126.22962513112917,VET
21,120.01939728700124,121.4232109355043,OCO
22,88.49709114389705,86.51144984528456,VET
23,189.4277809777778,186.46665653175802,VET
24,250.75690405682263,249.354441510267,VET
25,,264.59832325400555,OCO
