Minisector,RUS,SAR,Fastest
0,241.16573698033795,252.0341677724757,SAR
1,272.17831581698164,292.40015457414387,SAR
2,172.84490319314224,156.51191700642013,RUS
3,147.18533665745622,160.31519073837893,SAR
4,255.94604492395385,252.07306422867026,RUS
5,267.30865057391304,239.64501181252527,RUS
6,237.574839315873,204.21798824333845,RUS
7,215.88528477586394,189.77159460642363,RUS
8,157.90070193396664,149.51040661355913,RUS
9,214.8230856449261,219.01311658706913,SAR
10,265.78557703634175,275.8638805671221,SAR
11,120.88305769547483,114.05469066465405,RUS
12,203.4315726604345,216.15022385382716,SAR
13,266.6092275912304,278.6753571922655,SAR
14,286.0714690835088,307.72640229785566,SAR
15,289.76995758814815,317.61687906088787,SAR
16,238.4344063195617,208.6841122232445,RUS
17,132.36242656349089,131.7809214973016,RUS
18,134.53165562939037,134.71600176681852,SAR
19,121.40993494096529,121.18137048551581,RUS
20,226.62669041140933,219.8263962523043,RUS
21,254.79541449722407,252.00417022102164,RUS
22,246.04744914839827,212.71276367087856,RUS
23,222.55460974398773,184.08965602053507,RUS
24,139.80338197525967,143.43721237964627,SAR
25,211.82499413333332,,RUS
