Minisector,LAW,GAS,Fastest
0,274.61626795497835,274.1010799162134,LAW
1,113.43331477317611,118.10497141013326,GAS
2,164.76653837724052,163.81471088435373,LAW
3,205.89991810561767,192.31853847107098,LAW
4,157.7703462087619,167.6999542124542,GAS
5,239.8595680222449,238.61551951994045,LAW
6,201.01831974730158,181.79884837384836,LAW
7,130.9023654966717,138.2647753863047,GAS
8,243.50173056493824,240.77722567287785,LAW
9,284.76188595899157,286.3399074311111,GAS
10,274.0422900111525,271.31556868584255,LAW
11,148.49150190044443,145.95754927445296,LAW
12,224.77523943957672,229.44385223376932,GAS
13,276.97013942222225,279.7727891156463,GAS
14,227.05491946092778,244.56858932535147,GAS
15,98.85450420945891,101.34535427604109,GAS
16,230.5484219920468,232.04991692088888,GAS
17,287.2817238789916,298.1585714285714,GAS
18,315.55608256866356,318.24126855268423,GAS
19,324.0856260893737,326.0021684571429,GAS
20,315.66619009406594,327.1284090909091,GAS
21,286.73657792174606,232.65031783444357,LAW
22,152.65869879711704,150.28430597468042,LAW
23,242.64196349614053,245.24722837037638,GAS
24,273.93329272387217,286.1647079690631,GAS
