Minisector,NOR,COL,Fastest
0,248.53229158445055,241.73241297026524,NOR
1,284.5552550257143,279.6548809194374,NOR
2,182.14633417646465,191.20297520619312,COL
3,153.30806610445183,165.58169704130108,COL
4,261.097549408,254.50800686917185,NOR
5,274.52409983546636,267.94127362055934,NOR
6,237.77992570675886,239.59262147565715,COL
7,209.18111114697538,213.06039281705947,COL
8,156.20901645022997,163.1375966976994,COL
9,223.114830671746,217.6480765144178,NOR
10,276.50531891022223,269.5172698261264,NOR
11,131.56129717231647,131.23199040169703,NOR
12,210.6258882113805,210.85909465020578,COL
13,275.89795634511495,273.1606145028091,NOR
14,296.6498837135238,294.49656084656084,NOR
15,306.7480891853447,305.17808585858586,NOR
16,255.75828456445598,244.61409604720757,NOR
17,127.80233988392048,129.9477626431645,COL
18,127.58832260250706,130.26903246826308,COL
19,122.51009147367253,124.21628290624692,COL
20,226.21388374432212,227.57161195286196,COL
21,261.6433610091629,261.48748343994197,NOR
22,247.49850055864073,238.62085858585857,NOR
23,224.64217208724273,220.43603133203837,NOR
24,137.34391198437115,138.58647095842073,COL
25,217.0,,NOR
