Minisector,SAI,VER,Fastest
0,271.234992547297,273.5441670139669,VER
1,243.74358052867726,232.82587194633876,SAI
2,111.36754359276395,110.8327755369948,SAI
3,165.841985205154,177.07517472150468,VER
4,176.29425184063408,177.29308543804515,VER
5,208.7504855293773,212.64578952727274,VER
6,266.81484094342846,269.6316955689165,VER
7,286.1321148795239,288.6693696430252,VER
8,192.63587485201464,182.82124300999408,SAI
9,127.58895932934908,121.62974053574548,SAI
10,128.00711912592325,134.52010067147216,VER
11,191.80875558767565,175.1178765947619,SAI
12,224.4085954110984,216.9675653991619,SAI
13,128.41977364318623,129.01467787527318,VER
14,145.1874984594664,151.03507759527025,VER
15,120.69772087279686,115.25631901525416,SAI
16,247.5340478422222,249.89175697011783,VER
17,143.71981136172886,135.71615270847096,SAI
18,192.82112973480824,183.9164161384148,SAI
19,120.81442241966468,123.5089539415762,VER
20,127.65145983290621,127.15046428032898,SAI
21,120.43731147691997,118.6283126401802,SAI
22,137.57532169604968,136.58692500933364,SAI
23,224.51920189086601,214.44393235713866,SAI
24,234.0008189000397,229.7680564464572,SAI
25,,259.6374976,VER
