Minisector,OCO,GAS,Fastest
0,253.9236153295238,258.5429188075924,GAS
1,128.70495677124265,133.0963838836227,GAS
2,197.33903262984126,200.5995150311111,GAS
3,242.5523774245926,246.65267826622573,GAS
4,253.56762900410268,255.47272548923078,GAS
5,173.48829178412697,174.29139870236915,GAS
6,147.12044793629568,146.71000907018316,OCO
7,178.51361256533332,181.63805011485448,GAS
8,97.2595642673903,100.36663824936406,GAS
9,72.20307600632867,74.13282380458921,GAS
10,92.77222141242693,95.06409074455608,GAS
11,181.11512835943978,184.91209048368017,GAS
12,238.2098640987013,244.48373380215872,GAS
13,266.5154603331061,268.6204041507483,GAS
14,273.4515306122449,279.774577745887,GAS
15,112.3739554333939,109.81864522165495,OCO
16,138.3346432078091,146.88421332454598,GAS
17,185.41036734419754,185.51736645815873,GAS
18,196.05866594855118,193.8277291589709,OCO
19,199.9270979854342,203.2489409012733,GAS
20,132.31179433025642,136.63512754962963,GAS
21,108.49849749010102,110.64862757000681,GAS
22,93.94178346371902,96.48326827564874,GAS
23,195.27537079703703,194.39648137759636,OCO
24,245.62564157264958,247.53696393396825,GAS
25,261.6666666666667,262.67999743999997,GAS
