Minisector,PER,RIC,Fastest
0,287.9746965985351,289.6467102877193,RIC
1,293.467695421188,296.6962724491228,RIC
2,169.07327114761904,162.5541105101574,PER
3,220.25610660935158,218.45933329066665,PER
4,270.6829971716344,270.80947319524984,RIC
5,291.78981481481486,292.4061401824561,RIC
6,300.40661586715436,300.7044817927171,RIC
7,177.96471804675244,179.30681605136192,RIC
8,121.2964043773711,122.68302853693234,RIC
9,245.6687074829932,249.42161162788753,RIC
10,282.26137756967285,282.9389410887218,RIC
11,293.22112787468575,293.5712964740741,RIC
12,153.75059774291972,142.65049061127135,PER
13,188.49470554094174,190.36783777769656,RIC
14,254.97021311518233,255.82845798458052,RIC
15,210.39585047351383,195.92934404646505,PER
16,217.488,220.21716637866666,RIC
17,216.6154563589946,209.64233305599998,PER
18,242.7775359536232,246.2585601357576,RIC
19,275.27085881276565,278.005,RIC
20,289.7780700631579,293.44699069629627,RIC
21,268.42229168,268.5917865142857,RIC
22,227.22214470579252,221.97166677333334,PER
23,206.1066997278434,203.631339401575,PER
24,263.1216268698413,264.62520821333334,RIC
