Minisector,VER,NOR,Fastest
0,289.4844830347397,288.95991560638214,VER
1,158.44470148190476,159.5003371270963,NOR
2,151.946348965614,152.7308458936063,NOR
3,227.08558476767564,229.00928647068076,NOR
4,285.6083850320579,283.357815347412,VER
5,286.94803212554484,283.202081550045,VER
6,143.51949296319196,147.2077959720322,NOR
7,144.7470094774001,145.84691774630392,NOR
8,141.5300379880059,142.21176150297742,NOR
9,195.25650131449783,192.0400454099975,VER
10,132.16676374670365,131.35217110974577,VER
11,121.94213721006325,120.66648493340135,VER
12,168.99136072674375,175.83674189397445,NOR
13,269.5672363873016,268.5917721142089,VER
14,291.39226177662334,282.3845237995859,VER
15,152.27664856522702,149.12925888892445,VER
16,206.3795610314331,210.77964814530728,NOR
17,174.67341155132274,177.6247332168377,NOR
18,274.97408125714287,273.65324878095237,VER
19,298.3345451133103,293.17708315151515,VER
20,314.1325391818594,304.467828658601,VER
21,326.0476501573935,310.94223481212117,VER
22,331.73962599047525,312.83708336,VER
23,334.2833332190476,315.02875002666667,VER
24,335.8014007313312,313.1011363393939,VER
25,334.1166666666667,,VER
