Minisector,RUS,LEC,Fastest
0,303.3596076238095,300.4947222044445,RUS
1,151.48999878799566,152.55851679253968,LEC
2,215.39604823318427,210.97986267990382,RUS
3,287.4127030289947,286.1302578944219,RUS
4,317.6817009454682,311.78088507809525,RUS
5,316.692346486712,312.0963042074074,RUS
6,159.99097724931576,175.19353662581608,LEC
7,124.97367840915223,119.41925688104412,RUS
8,258.4135084497769,253.74668032902997,RUS
9,299.75714679054624,289.32798973490196,RUS
10,298.4210704457143,289.47141331877316,RUS
11,136.60051076852858,136.7309584870356,LEC
12,176.51283707657515,175.7506535572534,RUS
13,246.10367997598073,242.56870424085008,RUS
14,185.01211648326532,186.90828870854065,LEC
15,194.13031202594945,197.03839394377144,LEC
16,195.73702794533466,199.4950343279121,LEC
17,231.13929847521644,236.48490406704764,LEC
18,280.3910049901982,279.38321261985186,RUS
19,297.0346538714286,289.6323093346878,RUS
20,239.95693201904845,243.4862271372006,LEC
21,200.5576733867886,206.10423596088887,LEC
22,189.79439182368594,189.39261869435484,RUS
23,269.99198008599296,269.7288349121693,RUS
24,310.7395209052281,301.04947732517246,RUS
25,318.1666666666667,,RUS
