Minisector,VER,MAG,Fastest
0,306.5934525714286,301.36609128507934,VER
1,240.69871278370442,242.2366626133619,MAG
2,130.5712686454144,131.2756090156333,MAG
3,240.62635629241413,235.89182358952382,VER
4,196.22387466884354,187.1024336944799,VER
5,251.66877437963524,249.01670782655032,VER
6,232.27544132368254,223.44676313227987,VER
7,257.4978761127619,247.90588670707075,VER
8,292.2750154609778,286.7285107067372,VER
9,213.73824402827623,212.0916728035747,VER
10,199.6306631329225,196.6748797485208,VER
11,276.55681004969694,272.4924108219202,VER
12,214.0681007520569,205.22972171301944,VER
13,247.4312142615873,241.40458114853703,VER
14,293.1183615370248,289.58434479277867,VER
15,309.663148277539,314.3142925581264,MAG
16,311.8826057707231,321.2925354538265,MAG
17,212.23886390263175,195.39587562002512,VER
18,260.24765645235885,251.8561150182716,VER
19,299.7006625713823,297.544157295862,VER
20,311.59098632623375,323.32920790730094,MAG
21,315.4003750933333,326.9324186748782,MAG
22,152.7774522695506,151.47806913658238,VER
23,233.49005632257897,223.67330498054937,VER
24,288.1401241411992,293.5465682439241,MAG
25,,311.85714285714283,MAG
