Minisector,VER,RAI,Fastest
0,270.28655258181817,275.31552145651483,RAI
1,291.9850872701754,298.27236828070176,RAI
2,297.4375002980392,306.48915673162696,RAI
3,131.48713629437228,126.53954240171126,VER
4,188.78371726922825,194.60536993068646,RAI
5,254.9093253079365,258.2711177287982,RAI
6,145.58678099227836,137.75555003895445,VER
7,198.20661188853614,198.98857498021977,RAI
8,257.7425929940522,257.4139570294161,VER
9,282.15526321403513,284.3891666133333,RAI
10,237.4266055089027,220.80024697071212,VER
11,181.42094857235605,178.91923159661923,VER
12,185.2276301751363,190.27050828695258,RAI
13,150.02718815115756,147.25506247103044,VER
14,175.50487100532428,174.2940132489642,VER
15,162.94770896623376,159.85292389467787,VER
16,215.56482018165508,214.43124787427357,VER
17,230.46753573333334,232.0012431900621,RAI
18,233.7771630746837,230.18922875095484,VER
19,246.18634107661345,241.21938508985508,VER
20,144.15193235770167,137.8486468971755,VER
21,137.00014462793908,133.71693661315192,VER
22,167.3387809672966,172.71861222077646,RAI
23,148.65601876730753,145.3762530894097,VER
24,225.33678499578897,230.9911938538022,RAI
25,256.7874976,,VER
