Minisector,VER,NOR,Fastest
0,272.33506204336993,270.7930380421602,VER
1,291.63311397696526,290.7049072998068,VER
2,274.4957361281935,257.6285175944462,VER
3,156.45286984614825,147.59417415897602,VER
4,193.2571909375312,183.3769846272165,VER
5,169.38880526422798,171.2093871691517,NOR
6,161.38497256973164,158.84587461561262,VER
7,188.37975383018082,189.1080112360471,NOR
8,243.96188488450218,238.34300055437325,VER
9,230.25974890819046,214.0278673531699,VER
10,141.89592285714286,136.94430157093166,VER
11,220.45657409915418,208.91695197581026,VER
12,112.54309556079025,101.6733313923169,VER
13,210.96527586899035,216.49631729997884,NOR
14,265.44886585242233,264.8676844007925,VER
15,275.88616583185376,261.35976714989897,VER
16,177.59208762695795,160.06384917872984,VER
17,161.01979488026734,157.09341421556937,VER
18,251.02779595701125,253.06546682908737,NOR
19,282.2057634711111,280.45559690225895,VER
20,293.8247788773171,291.6027731116883,VER
21,284.0846000737717,264.16624167794026,VER
22,238.5737275319357,203.95982742944315,VER
23,101.65011953943666,104.03811124260949,NOR
24,225.04279390320542,221.0017742908759,VER
