Minisector,LEC,VET,Fastest
0,308.0475050287035,302.7381943111111,LEC
1,290.5237316637681,287.3249520395986,LEC
2,168.06193247342173,171.5141259974101,VET
3,199.41994912323233,200.37086595496783,VET
4,216.00352613983523,223.1698263172414,VET
5,267.3083335384615,267.6900397988103,VET
6,237.08410478617284,234.59238690574713,LEC
7,202.0001226980392,199.63786297245167,LEC
8,182.1605857037838,175.63442281665047,LEC
9,154.22702063837954,160.03258080099965,VET
10,186.36925633153155,190.24235830369753,VET
11,188.1967465739915,193.6982762835033,VET
12,244.99191869302769,237.22991099473572,LEC
13,166.63028627916353,168.5839664919307,VET
14,237.40294608215478,238.19917767881773,VET
15,276.0697981482402,274.3138837600664,LEC
16,278.00965162317846,265.71785597777165,LEC
17,270.6672001139237,256.7949176380952,LEC
18,253.2065705846154,247.69260048207704,LEC
19,253.12197884961324,253.52250030933334,VET
20,213.76085500150378,254.2662071996059,VET
21,167.2139165037442,221.35109469203343,VET
22,222.20996864154526,195.8068005235843,LEC
23,277.24514270695835,269.31098647619046,LEC
24,297.7217263930736,292.1227717145723,LEC
25,304.0,298.8666663619047,LEC
