Minisector,SAI,LEC,Fastest
0,277.183489510559,273.04670895620797,SAI
1,295.1037824487597,292.355043502514,SAI
2,222.04818846733772,228.91036857964926,LEC
3,125.76723432366411,127.4585492260505,LEC
4,183.53424436397214,182.1022721314376,SAI
5,120.39374231135554,119.61628147104089,SAI
6,213.777415241014,210.08002164825396,SAI
7,258.31267383492064,260.8272507688305,LEC
8,177.59726041155255,174.61484642962964,SAI
9,185.71776882462513,181.05377711338704,SAI
10,265.4008805763975,263.7659151449736,SAI
11,189.70402354825703,183.77800869500823,SAI
12,165.75132405679958,165.90283788818599,LEC
13,256.1075003733333,255.68502055873014,SAI
14,272.68115982608697,271.42016821766725,SAI
15,285.2994080128269,286.35470804502165,LEC
16,201.84758240990354,199.52580575018732,SAI
17,192.7553591856167,189.81546359862585,SAI
18,244.1330144,242.01460471454655,SAI
19,283.8580551354854,281.30823036024844,SAI
20,294.2785980589203,293.2532198787879,SAI
21,203.32323554571016,200.8571393095238,SAI
22,148.18974377143797,147.5236450232558,SAI
23,158.61228456223205,154.13026908246223,SAI
24,226.93716476798934,223.80690892315002,SAI
