Minisector,MAG,NOR,Fastest
0,292.38270393564335,288.72320772909336,MAG
1,301.8495505676191,298.85684592592594,MAG
2,303.9126334667342,304.3847144133067,NOR
3,189.37337990231532,200.34853639356407,NOR
4,206.41183046875614,213.61264779142465,NOR
5,202.45614101482153,204.07669334110412,NOR
6,263.93540349213487,261.712127219512,MAG
7,256.5779605140822,264.7331361650794,NOR
8,204.91216266879556,221.75335182275674,NOR
9,193.6972653378055,221.6030085775238,NOR
10,147.03984972538336,136.71469374353296,MAG
11,187.74426852448013,214.99936525505413,NOR
12,190.54781343379292,182.75540514654378,MAG
13,254.94309899550913,252.7184779073016,MAG
14,178.49239427045038,189.61078208815775,NOR
15,234.84214759764293,228.97617680137373,MAG
16,281.1469473538322,277.17678496571426,MAG
17,290.0735115285886,289.4994024302575,MAG
18,277.81147681391303,282.1522946365714,NOR
19,261.8434625372059,271.5284386218275,NOR
20,261.59422035240004,272.37263755064754,NOR
21,256.6171089167332,264.63474280671204,NOR
22,229.06121472613302,245.02127193575066,NOR
23,202.18048559920513,209.1132415438748,NOR
24,269.09329351053026,265.19161201254246,MAG
25,,281.5946418285714,NOR
