Minisector,VET,SAI,Fastest
0,283.9738657323973,279.72748651779284,VET
1,250.3790418898472,241.6112927780246,VET
2,278.5099404077597,274.1283419143341,VET
3,301.091546407981,290.96949863851086,VET
4,124.61111327616167,121.34469263622398,VET
5,208.26454892492805,212.52567219268005,SAI
6,275.143424358255,274.02874325071554,VET
7,308.2252156579763,305.7863401632364,VET
8,324.53412443777376,321.94820205947724,VET
9,328.32666666666665,328.77189901494586,SAI
10,303.89350906010486,290.6056563620944,VET
11,100.45475941792076,96.57046441637486,VET
12,223.3061751169935,226.2379755971484,SAI
13,272.81597197037036,275.5278846516609,SAI
14,275.86384021478824,261.8370775220502,VET
15,130.03561555082942,123.95456598913269,VET
16,201.6933952924218,199.66144487513927,VET
17,257.3734947546274,257.6228882066706,SAI
18,257.2835603033909,254.30043901754385,VET
19,250.85898653915797,250.5732922145712,VET
20,149.98975822903117,139.63369898771526,VET
21,188.06070775017682,198.83315588641065,SAI
22,177.00962884555503,163.64262986727095,VET
23,189.31268707107873,193.915175754212,SAI
24,253.58364002112435,255.58283016439285,SAI
