Minisector,PER,SAI,Fastest
0,295.0919094648039,303.122000384,SAI
1,163.7844296701039,158.07269432916732,PER
2,156.09602221598618,154.51417367795378,PER
3,223.31194418154442,221.74091827411482,PER
4,285.800550466905,287.9013117085188,SAI
5,293.49253662710623,299.9351191055901,SAI
6,149.68121523781906,146.62871132698945,PER
7,142.89747687978632,138.68249155458875,PER
8,146.33749920106442,151.77024908325043,SAI
9,181.6861572522067,176.80981965788683,PER
10,131.62142551025863,130.3014118781394,PER
11,131.02957066148863,126.21315089670526,PER
12,166.83584693810937,161.6338200248598,PER
13,268.34547704397744,266.7919998186503,PER
14,290.2733466675111,294.7708333333333,SAI
15,153.68074733974873,151.4728020108458,PER
16,214.87273410455987,208.28254069278628,PER
17,164.70468574833328,165.5196366047082,SAI
18,268.0762108124137,269.95641005128203,SAI
19,291.4435898666667,295.1106399809524,SAI
20,305.43113247593055,309.220868501805,SAI
21,313.3581349079365,315.78787878787875,SAI
22,315.9961956637681,318.11923315439947,SAI
23,316.63888893333336,323.26333875670997,SAI
24,313.601948000303,324.27806140367903,SAI
25,309.0,324.4374997333333,SAI
