Minisector,LEC,SAI,Fastest
0,294.6144609882353,306.66245073693267,SAI
1,304.46672147004006,324.2275000177778,SAI
2,308.2348958,334.3509523809524,SAI
3,307.2552078666667,321.5255204,SAI
4,178.937051403562,165.44688005648604,LEC
5,214.1990354507915,213.9254411541973,LEC
6,245.00059474285712,241.9797915504762,LEC
7,269.48390194017657,268.19398157037034,LEC
8,267.60668197248674,256.8739033267093,LEC
9,168.2856085745579,162.80430574222223,LEC
10,237.31116162705453,229.66562543030304,LEC
11,136.60500120380954,133.41141132040894,LEC
12,221.52575967226153,225.9084708273331,SAI
13,196.38198046878043,187.01351816773487,LEC
14,216.65417212253917,217.85732006063333,SAI
15,254.96854197333332,246.73198474833976,LEC
16,262.5810319863918,263.19978100451124,SAI
17,287.8443271798319,284.897083371558,LEC
18,137.41762284817779,130.742973312071,LEC
19,160.21657031766514,161.51786789641218,SAI
20,148.3439726440336,147.56452115325374,LEC
21,169.1264521035165,164.28214296380955,LEC
22,118.71407790919157,116.00501674522184,LEC
23,226.31646659047618,228.5533342907769,SAI
24,272.3124052531328,269.9751079665177,LEC
