Minisector,VET,LEC,Fastest
0,282.4895933000536,281.37376995473545,VET
1,295.61890326039946,297.04058460383453,LEC
2,243.81101054509415,240.6951763883248,VET
3,120.94894859287628,119.20917846006479,VET
4,146.02322692092162,145.6530679963251,VET
5,254.3806930582553,255.773191670351,LEC
6,256.20672374062406,248.6998972763677,VET
7,130.95450402706427,128.75644931136353,VET
8,251.09268820255224,252.90096276293534,LEC
9,265.817091340472,266.0063918986855,LEC
10,220.0634828062257,213.8139780604299,VET
11,148.7455376644271,152.6492966091054,LEC
12,218.65772500491914,223.63858432587517,LEC
13,261.92009436315914,264.5670053554561,LEC
14,118.57460971033343,117.8784513404963,VET
15,206.2210428750628,207.37688704379028,LEC
16,260.9673791639611,262.5432081271959,LEC
17,286.37953374744774,288.7096555210662,LEC
18,297.15906448372596,297.9914191764122,LEC
19,300.7433499645454,301.8622807578948,LEC
20,299.6467417966882,304.54562501333334,LEC
21,159.28041597749865,144.67671148475304,VET
22,163.7857149806396,168.21908664284652,LEC
23,205.3288904288447,195.20621784749724,VET
24,242.13464052329428,245.15768477606525,LEC
25,267.80597104269725,,VET
