Minisector,ALO,OCO,Fastest
0,279.4012531496013,281.4089676927831,OCO
1,129.3110914281704,115.72424835681754,ALO
2,154.3418028358773,163.39916806539907,OCO
3,206.75067296256532,199.675797231915,ALO
4,165.9950696784849,155.88813502168887,ALO
5,242.73875995787117,241.6871248182857,ALO
6,220.04709686176048,196.63284773197816,ALO
7,132.7959509094466,133.57649365531435,OCO
8,232.71748408380952,226.8299095333738,ALO
9,274.97063267506724,278.02387980682556,OCO
10,284.5215125252149,277.3697368421052,ALO
11,150.9588441407898,138.50994610389765,ALO
12,216.40438204225148,217.6250782333333,OCO
13,266.66661298023496,265.4215514113616,ALO
14,264.100819441552,249.58318206126904,ALO
15,101.24368694741702,95.53210910766758,ALO
16,213.42090535996994,207.4789417989418,ALO
17,269.18329043666273,271.0581081654641,OCO
18,289.7771648194211,298.9156287419883,OCO
19,300.4487514969705,313.1583872053872,OCO
20,304.1656862745098,322.7533653415385,OCO
21,284.3120300203654,276.0421070659944,ALO
22,151.45840586080237,150.1760394490376,ALO
23,232.45398366766744,242.4250473864662,OCO
24,275.4656510430461,284.3636719,OCO
