Minisector,RAI,PER,Fastest
0,291.13267721904515,288.6397721974026,RAI
1,313.33020810666665,308.49145808,RAI
2,314.082630688091,303.5595254233186,RAI
3,182.4077384576871,180.10855524571429,RAI
4,219.86324642097182,220.67785437037037,PER
5,197.6102708971724,201.61621990861013,PER
6,184.2004727260504,187.09793433725488,PER
7,210.09150217142857,211.52746526183557,PER
8,259.0303319111111,258.7128548801181,RAI
9,266.5180222542181,256.3942237350142,RAI
10,172.2915570526316,168.09948487230105,RAI
11,244.34186541988217,240.82104676923078,RAI
12,119.48482620892659,118.0465525480818,RAI
13,230.1209782247619,232.89495952464117,PER
14,280.78879532235044,279.5295450181818,RAI
15,294.72136069079363,284.80661981412,RAI
16,204.11557619809525,193.0110292378693,RAI
17,177.31167529971657,191.20416999041336,PER
18,270.5864650199038,273.57913866666667,PER
19,300.8496757338535,299.53977236363636,RAI
20,314.3946694380243,311.7348343187348,RAI
21,314.87979178666666,310.7468720909443,RAI
22,258.8222368975325,250.3660465276389,RAI
23,116.44812143591525,120.10344665369259,PER
24,241.67003125536428,246.49166557866664,PER
25,277.6124992,,RAI
