Minisector,HAM,HUL,Fastest
0,278.14003612753623,279.298248012403,HUL
1,295.8895834133333,294.97125008,HAM
2,233.30048623194116,236.66040678603534,HUL
3,118.7480900135473,115.68537570420169,HAM
4,137.3207853438811,136.44071250852713,HAM
5,249.05833370793653,249.62218874418238,HUL
6,250.03655705979128,257.49478924444446,HUL
7,124.15321705028276,122.70510271842988,HAM
8,244.59670182222223,243.8496534666667,HAM
9,255.49882811549583,261.0601952418199,HUL
10,205.46537305747125,210.459556958036,HUL
11,142.69321105638375,143.91516426183873,HUL
12,205.04285718095238,206.99562848472908,HUL
13,257.65456966211974,264.5781925333333,HUL
14,122.45433459817033,118.95971008260938,HAM
15,185.83246077049196,190.10374837805642,HUL
16,254.01323489723825,256.28455136046176,HUL
17,287.2783333333333,287.09270847238093,HAM
18,302.74402778753273,299.68354175999997,HAM
19,309.9454365206349,303.61864039298246,HAM
20,312.1868749866667,307.0616118229998,HAM
21,162.8582942084716,179.61015272727272,HUL
22,148.8183863834291,139.46800291713808,HAM
23,201.65355509475813,205.64118431067368,HUL
24,235.3615385846154,236.24409844444446,HUL
25,264.9833344,266.00829927969517,HUL
