Minisector,RIC,OCO,Fastest
0,259.6007450732198,264.6153689256651,OCO
1,134.24075709410226,126.0732283643139,RIC
2,266.68817613063936,267.2963538210653,OCO
3,308.55227448163265,315.57857131428574,OCO
4,307.11320810506777,315.4816165048051,OCO
5,314.7969135407407,325.37559527619044,OCO
6,320.3854356290268,340.0035569607612,OCO
7,319.0748845233057,345.1347618864762,OCO
8,199.33611779346631,197.42981128000986,RIC
9,200.24596849475682,193.6006081782845,RIC
10,182.84994605622103,180.64983349412717,RIC
11,167.99915695125796,162.57063804511876,RIC
12,254.0691193950655,250.22927653725105,RIC
13,274.19363372235085,266.95583625118775,RIC
14,277.1569958000481,277.30813150107525,OCO
15,272.3061206187657,271.37330603526397,RIC
16,189.93786569476592,185.85697765312776,RIC
17,196.53783074231535,189.15572896645963,RIC
18,246.23616130372966,242.50911790484977,RIC
19,290.8038192266667,288.28124199900725,RIC
20,313.4222731241308,310.9304623990271,RIC
21,320.3441358222222,318.64409061608734,RIC
22,317.99352746080876,314.8907500164393,RIC
23,264.6329544219336,250.89782571420994,RIC
24,116.19031692346978,114.12961191433116,RIC
