Minisector,ALB,HAM,Fastest
0,284.14724986915826,285.5589542985432,HAM
1,152.66772213248112,150.98345274153326,ALB
2,148.29081190526438,144.01379835029837,ALB
3,221.08596353812243,231.01891982283905,HAM
4,286.9037064510529,289.7491505487528,HAM
5,283.7309028642856,289.76362206997453,HAM
6,136.83074600848764,136.00305105079516,ALB
7,137.38466629756613,134.70817391224648,ALB
8,126.9017691158403,127.45992770331384,HAM
9,184.54311564633417,188.10440769567347,HAM
10,121.89409297499061,121.35633572619037,ALB
11,128.043182859362,122.98034876522692,ALB
12,164.29158430585318,154.09604074182187,ALB
13,266.8716521679238,267.3100787065692,HAM
14,291.5685513473016,295.1751657659259,HAM
15,149.14963383265805,145.87248848797057,ALB
16,199.14124482859845,195.04955673684708,ALB
17,171.84282773176014,168.92870163229455,ALB
18,269.059352813818,273.6657578499928,HAM
19,293.99107688727275,298.5012229077686,HAM
20,309.1799181161544,313.7959776831336,HAM
21,318.98725660259737,324.10166688,HAM
22,323.9382633139492,329.2884912287144,HAM
23,326.6711842021053,333.1498015238095,HAM
24,325.21932274539586,332.94625769382714,HAM
