Minisector,RIC,GRO,Fastest
0,266.662194076822,268.888571925677,GRO
1,284.44008474009144,287.5917599551348,GRO
2,290.8272654565375,294.1863636912338,GRO
3,136.58839914829437,128.51739721386372,RIC
4,197.41496222475533,192.89725704829326,RIC
5,255.79140031378023,256.08018347667326,GRO
6,148.15123654006732,143.86126118014772,RIC
7,204.78798804162872,197.53432396547177,RIC
8,255.50405290741347,257.60878809241945,GRO
9,278.14128975904197,280.6867334037042,GRO
10,246.24313012098713,229.08971669778407,RIC
11,185.7411520204357,175.6692521107037,RIC
12,193.58433525393932,184.5355406231534,RIC
13,152.57864623081036,142.23249241514117,RIC
14,174.2752257659097,171.18758862210066,RIC
15,161.5752291730674,153.98989156464003,RIC
16,217.89424766984126,212.1546239120293,RIC
17,234.43801563972033,226.22047554498636,RIC
18,238.6496399422952,230.89195674478032,RIC
19,246.504166933853,239.58893305282385,RIC
20,147.17752669963642,139.60707887434447,RIC
21,138.900352319121,132.9829739414642,RIC
22,171.55619959262782,168.95618979097267,RIC
23,153.45251555767769,145.30106737099283,RIC
24,226.5016974296472,228.18653437097504,GRO
25,254.95833066666665,,RIC
