Minisector,LEC,ALO,Fastest
0,296.78359090423544,292.2503991029318,LEC
1,305.5,301.6462602191597,LEC
2,309.2615351747368,305.61084453095236,LEC
3,292.4107121329064,289.7840794857143,LEC
4,173.34286279717105,163.8154811465534,LEC
5,212.45645479505933,213.91085209794343,ALO
6,241.44138905396827,245.4166257768944,ALO
7,270.5085524518095,269.47676643598766,LEC
8,258.123404295439,237.40746326857143,LEC
9,158.9592603515958,157.22566592426904,LEC
10,224.45231298586683,214.15783308788556,LEC
11,126.49169973855248,128.42654393166023,ALO
12,228.65396862666668,228.04843273167305,LEC
13,176.9793002425449,173.25590157108513,LEC
14,216.2263045738528,212.2141485625589,LEC
15,244.90876841876047,240.13642641849717,LEC
16,268.86821124397574,264.23636932595616,LEC
17,291.9578870222222,288.1592496812953,LEC
18,152.20325549099493,144.71699230040815,LEC
19,163.09400428440512,165.60237422710773,ALO
20,140.1071126111191,136.388770317858,LEC
21,229.0368913673096,232.50529746994965,ALO
22,263.6209359210486,262.01226453582063,LEC
23,252.5286937095626,252.75966658133333,ALO
24,278.3283217817134,279.51763613325807,ALO
25,289.8875008,,LEC
