Minisector,PIA,HAD,Fastest
0,290.51780250482756,300.32273880380956,HAD
1,143.98883626539126,150.03458094093278,HAD
2,232.78372664182197,216.67130941701458,PIA
3,293.00932532486775,285.9031357962482,PIA
4,315.46585942,312.5105788464816,PIA
5,313.6420006878455,315.55188813333336,HAD
6,148.39278150803273,193.85412850418336,HAD
7,137.08131584,114.96799341296521,PIA
8,261.5982791043028,248.7222327546748,PIA
9,298.52587854023307,291.7048369540741,PIA
10,294.04525061293236,299.7921376080672,HAD
11,130.5213345323094,149.75527153630495,HAD
12,191.63458036705515,163.9079594577949,PIA
13,247.90416648366013,240.73786718171428,PIA
14,183.47955498198718,186.3168753995465,HAD
15,196.312386932198,191.1197069798873,PIA
16,191.8799753075109,199.1044191253554,HAD
17,236.7274502338209,225.06410486124742,PIA
18,281.0121915259259,276.44744363174607,PIA
19,294.97472659210626,298.22208312888887,HAD
20,246.61165589808613,261.222942952221,HAD
21,202.0278432958242,205.33743045120002,HAD
22,191.2991444805482,179.16522634220985,PIA
23,267.9781651580419,261.97268996971763,PIA
24,303.01685743521557,296.35396228444444,PIA
25,,302.34166666666664,HAD
