Minisector,RUS,LAW,Fastest
0,284.8147340088889,292.5314880850069,LAW
1,293.2113636987013,299.3582954181818,LAW
2,237.0925314535619,236.21486784288405,RUS
3,119.90170545376635,116.94176374169909,RUS
4,134.68354066649886,138.11419688645245,LAW
5,255.28439038176347,257.247262348902,LAW
6,245.45435740666667,252.23140068848485,LAW
7,128.7471851587733,128.19368479735695,RUS
8,253.06569482112553,243.92309787760684,RUS
9,255.72391150064024,243.5229328082051,RUS
10,213.04011450484333,200.11679132570234,RUS
11,143.80775041632725,142.09525910383525,RUS
12,204.5259662115654,211.23973670452673,LAW
13,254.0423452584814,252.11084632205515,RUS
14,113.87637156383204,115.75255438468494,LAW
15,192.82342850620898,186.35562579732908,RUS
16,270.9309690867633,264.1950646866818,RUS
17,312.97185719887955,309.14040487314037,RUS
18,323.7016527787862,322.6942159869168,RUS
19,327.2149719502521,320.69802644210523,RUS
20,325.15689887695237,311.14290536141,RUS
21,190.66381841438192,146.5996057246753,RUS
22,143.34121934017116,160.66587191313124,LAW
23,191.20521988626848,181.05884629237624,RUS
24,231.52879095515516,253.01731218632037,LAW
25,258.0,,RUS
