Minisector,HAM,RAI,Fastest
0,278.6541819118197,279.96943692917915,RAI
1,239.45527925164524,237.3685890880026,HAM
2,118.27537266975311,116.10882243382306,HAM
3,191.75695266607244,193.09854381152147,RAI
4,183.44220516208827,180.425647554406,HAM
5,220.36927461160704,217.34015440007988,HAM
6,277.813123514797,281.8195577751095,RAI
7,295.1005029265336,299.599103790593,RAI
8,189.2372428151181,184.98431968929765,HAM
9,134.7144379248158,128.1050277618891,HAM
10,136.340087488696,134.9677095979231,HAM
11,191.84618319831043,191.36019933188226,HAM
12,224.73716972853362,224.2261421087629,HAM
13,135.11865839346348,130.56841971667905,HAM
14,157.87492082340663,153.89405387455471,HAM
15,121.6867084387457,122.97780064438865,RAI
16,256.0004622518751,257.9246289180424,RAI
17,144.22548236355888,142.2183303261447,HAM
18,200.8539008689968,205.11817497542674,RAI
19,140.69678152212484,132.31019758047768,HAM
20,155.20297986379876,146.16439288053857,HAM
21,130.67184078915665,127.53397380419733,HAM
22,146.44040085056997,145.7732438101742,HAM
23,222.0211279889915,217.4620678892683,HAM
24,236.88639619340327,231.83183265769446,HAM
