Minisector,ALO,VET,Fastest
0,241.82053602321253,237.36518489244176,ALO
1,272.9380848135218,269.5606320022586,ALO
2,162.29271312173321,169.8812591192619,VET
3,153.75176650814814,151.1508604199885,ALO
4,254.84113309529374,256.8154580843867,VET
5,265.0045677457644,259.8366291166532,ALO
6,224.61025964522523,212.5772856879746,ALO
7,194.33607020450216,191.56380618856056,ALO
8,152.4451469823501,151.54458625413307,ALO
9,209.8952218732173,206.59775088113847,ALO
10,270.95815449037315,269.70650298110263,ALO
11,121.05224566585203,125.63373505907005,VET
12,202.38620249823717,207.608768225926,VET
13,268.00675834920634,266.538121216261,ALO
14,290.8637192297119,286.0586765867113,ALO
15,300.31915707636364,295.86497493734333,ALO
16,253.1137075383908,244.04122967335283,ALO
17,128.8584613828084,132.3845387961784,VET
18,129.48794564855567,131.74149646423325,VET
19,116.70206815486664,121.25715572652163,VET
20,220.2379373780666,223.09207572557574,VET
21,250.65046327161906,254.00076663301775,VET
22,228.38422247395886,229.29624957777776,VET
23,202.95472240700337,207.58708180308537,VET
24,131.40572805478317,132.43900357859863,VET
25,212.94999808,,ALO
