Minisector,PER,GAS,Fastest
0,277.55383101809457,276.44408441954937,PER
1,296.79318204675326,293.2769731372482,PER
2,232.00846932204584,224.25442922707268,PER
3,128.23907338107662,129.00376062238462,GAS
4,186.37350856906383,182.4633997833267,PER
5,118.26456936582092,122.98991706588076,GAS
6,214.16046634876847,210.35447643743845,PER
7,264.4948739937443,256.62890830818657,PER
8,175.69958699542101,177.2891445818691,GAS
9,182.03058223399643,181.78785583986917,PER
10,266.97152693333334,263.3454868,PER
11,183.2438210705288,187.40781507155722,GAS
12,166.01662840877896,168.23313480002923,GAS
13,259.54989710795485,256.7183389351923,PER
14,276.28260823188407,271.96435415447985,PER
15,289.99346295924886,283.81847828405796,PER
16,201.26720626236562,205.0629325114398,GAS
17,198.8050090534627,189.89842292241846,PER
18,244.36048346373627,241.65616263576533,PER
19,285.86161592981716,282.5598315858544,PER
20,297.2760009489177,293.17743769977324,PER
21,204.0396124374947,207.9689465873874,GAS
22,146.37312024744895,146.67953844102823,GAS
23,156.88745036250683,155.6335417167507,PER
24,227.4198381505754,225.45667034262993,PER
25,261.61250240000004,261.26666666666665,PER
