Minisector,VET,SAI,Fastest
0,292.93378831974945,285.56993851487533,VET
1,304.59337220253497,295.47451794952445,VET
2,309.2558808119369,299.8556573641949,VET
3,310.14511632133144,301.01200945143603,VET
4,178.0541142411243,174.07662870385076,VET
5,218.1312685417318,203.93662969095644,VET
6,246.56085821362407,213.79869568844558,VET
7,269.8542952623663,253.80024624083958,VET
8,272.0771911232971,268.3272842084979,VET
9,170.07796300949866,166.75263084124808,VET
10,238.15048412702657,230.30386459805095,VET
11,145.73296017986513,141.19234290032415,VET
12,230.27522870626353,219.77158247771035,VET
13,202.5786394644105,201.10040650033255,VET
14,220.20146398856232,211.49291780797685,VET
15,250.3266558564912,244.02300490956063,VET
16,264.46860464127303,254.77553546885557,VET
17,287.01739934932783,277.98732287480334,VET
18,142.68474073133507,156.98374269788647,SAI
19,163.71539737504096,155.70240291556408,VET
20,150.46042615459572,145.34089214095218,VET
21,168.12578593879482,172.2178920857722,SAI
22,121.70884128487985,117.2412022793383,VET
23,230.20380180345367,218.59765649833594,VET
24,275.99519525274803,265.6019806140217,VET
25,289.6401686816418,,VET
