Minisector,NOR,ALO,Fastest
0,297.286573708642,293.87666282666663,NOR
1,155.97438663654546,158.771121954544,ALO
2,150.2485527414565,150.54781423074047,ALO
3,223.18370721784552,222.3687432775988,NOR
4,286.8079531763809,283.33659503542856,NOR
5,289.5328705580247,290.76433352533337,ALO
6,141.2883083516395,144.72494942012676,ALO
7,140.9644588589051,141.06778258857796,ALO
8,145.2163168254354,145.59658818358974,ALO
9,177.22008172354418,178.6306449659884,ALO
10,132.40599420311503,130.37974575906938,NOR
11,124.62077624798958,125.97644101812242,ALO
12,164.28743871594423,167.00983665500473,ALO
13,269.6175994572481,266.95178894528436,NOR
14,295.5499576801475,285.94947405300934,NOR
15,150.8365288747588,150.1083538012101,NOR
16,211.0936163106397,210.4664284952381,NOR
17,164.39400635027735,166.6611159783429,ALO
18,270.1263108959574,269.33297752879275,NOR
19,297.5316906605714,293.7571180888889,NOR
20,311.6336945785506,307.64699792960664,NOR
21,319.52632576969694,316.77228271304347,NOR
22,322.8126669636899,319.6666666666667,NOR
23,332.3437495834268,323.14278337163506,NOR
24,332.9806183377708,315.39071975757577,NOR
25,,312.3208330666667,ALO
