Minisector,RIC,LEC,Fastest
0,302.6686364992577,291.6894671067105,RIC
1,320.1134938146058,303.0333137833873,RIC
2,329.7572157997733,308.2472222222222,RIC
3,322.0835189572623,305.75578277258484,RIC
4,175.45504671930433,166.48607512645626,RIC
5,220.0443367585188,208.13990132949039,RIC
6,250.58002109133344,227.6507207426854,RIC
7,267.0046328124728,261.4291110738539,RIC
8,271.2078949614035,259.6802796394188,RIC
9,175.91291297910124,155.82218311104253,RIC
10,231.5143546158168,227.10163127495298,RIC
11,145.10577111385237,137.17286293449595,RIC
12,221.38787618179856,226.8960836649771,LEC
13,208.1258612732827,191.72547335188324,RIC
14,212.99113378542094,213.55571620133205,LEC
15,252.67479157333332,237.2320996785372,RIC
16,262.68699929541015,257.3435938961689,RIC
17,282.2705697857399,284.2165455735012,LEC
18,146.98252467609,132.42410165123016,RIC
19,160.62589126869406,163.87326146703302,LEC
20,152.3419120371141,143.50974602732077,RIC
21,175.05137196400142,159.33897154927567,RIC
22,124.4786650665314,118.96199886151742,RIC
23,224.04416336746428,227.90829138799967,LEC
24,267.2477964434484,270.1068295243851,LEC
