Minisector,ALO,ALB,Fastest
0,275.11970053352775,276.20412872093516,ALB
1,301.5471145950126,299.2438947866932,ALO
2,299.37941689096596,295.6812210940741,ALO
3,165.86373593684988,167.13056476466807,ALB
4,117.7880748194919,117.66492894776935,ALO
5,233.63456345834703,239.48491174460435,ALB
6,291.6147455412917,295.76734345456094,ALB
7,309.6134938324362,312.324110385852,ALB
8,162.66548878871038,167.6836929886803,ALB
9,135.97830680679087,136.60785738842623,ALB
10,249.59368189737376,248.31646450864048,ALO
11,291.1528098402828,288.935539429418,ALO
12,304.8108915033037,301.28522403755994,ALO
13,286.9275254158298,274.109826151232,ALO
14,299.47476907150417,294.7056818327273,ALO
15,302.8279768450216,294.15733974455026,ALO
16,255.0087683319705,243.4603207129502,ALO
17,223.28048078844745,223.30353426359272,ALB
18,283.001391718789,287.6810030914361,ALB
19,311.39975172698416,318.8458286597577,ALB
20,315.88827393662336,323.819408957193,ALB
21,218.4517926617643,217.12693744520752,ALO
22,256.15173852062554,257.17330405033186,ALB
23,128.3778768271025,127.06157138934783,ALO
24,204.53875571863946,210.95769134891674,ALB
25,255.0,,ALO
