Minisector,GRO,MAG,Fastest
0,276.2545339834448,277.20869697742927,MAG
1,243.07196735454892,231.4427159888657,GRO
2,266.06566453916844,260.42061504777905,GRO
3,281.0531010521097,280.1318918029246,GRO
4,121.12929596963014,126.77816977605879,MAG
5,203.85664068649677,207.1409491896998,MAG
6,265.04046899870303,266.6153836098513,MAG
7,286.6523639996769,289.2917122221251,MAG
8,297.37340362420707,300.51511192684865,MAG
9,302.29536304520684,304.84909658972657,MAG
10,287.5798624,282.7433678755638,GRO
11,96.96209953602354,99.42278043118763,MAG
12,215.32466358075345,221.96990157650623,MAG
13,264.6047882830504,267.7320298402578,MAG
14,267.5370378074074,269.1749292212806,MAG
15,130.53604761078105,126.32857760819061,GRO
16,200.1119827668725,196.63864647747295,GRO
17,250.65257007428073,252.3024869952887,MAG
18,252.92724672871503,247.51611197674293,GRO
19,240.32559505703298,238.3040682735137,GRO
20,151.30457100691535,151.84905848039054,MAG
21,181.86719614410833,185.32234955161258,MAG
22,171.47812014158643,162.39333756167105,GRO
23,189.54643130925822,189.88564247161906,MAG
24,247.25236123523078,248.49349562074,MAG
