Minisector,NOR,STR,Fastest
0,306.72548261351227,307.4835648592593,STR
1,308.03273700392157,301.0974217931537,NOR
2,157.90196212571385,153.07500013714287,NOR
3,230.32560933333335,233.48786302608696,STR
4,285.86186896906867,290.2261904761905,STR
5,312.5110264454188,316.6211485938375,STR
6,317.9813724235294,327.1320312666667,STR
7,162.11708404400724,153.31577376507937,NOR
8,138.9958343063063,132.33675122574695,NOR
9,250.20740423645103,255.1898810920635,STR
10,285.5026787301588,295.08515243174605,STR
11,291.9230426101824,304.5771769278582,STR
12,147.2589967361325,141.65213129403764,NOR
13,201.36694580763395,204.92816608673937,STR
14,257.88439428684205,264.47698433015876,STR
15,203.43016928395062,202.12725859767053,NOR
16,229.93200716511802,222.95543494492753,NOR
17,223.41014391746032,217.66691347147477,NOR
18,251.11243315596735,248.0651515151515,NOR
19,276.9950387989376,279.2313599438596,STR
20,288.60745616842104,293.8962963555556,STR
21,257.5371877877551,265.19,STR
22,220.41051877240398,219.77883302400002,NOR
23,213.73919538818046,209.56031764294198,NOR
24,269.2498252184418,274.0212723649123,STR
25,,295.8250016,STR
