Minisector,NOR,COL,Fastest
0,313.5736986952381,312.4046229783252,NOR
1,325.0309050238924,328.74227440852485,COL
2,328.80571187364853,332.6301767756708,COL
3,311.2959844667086,302.0646193366667,NOR
4,153.21457027897125,149.69621185104663,NOR
5,186.96741846683727,191.521157832815,COL
6,215.70278098359734,205.12986501381428,NOR
7,259.9000531917133,252.74936127681667,NOR
8,239.30238606335382,232.18298927460918,NOR
9,151.84465550314243,143.90976272884632,NOR
10,203.91181028313167,203.06736667839692,NOR
11,127.45558598008023,115.16717455682091,NOR
12,233.47535400173163,231.04397883957876,NOR
13,157.94977806843744,196.46904167369868,COL
14,214.982941925409,189.86841886273845,NOR
15,224.98058220638583,214.6208066015415,NOR
16,261.55091306046336,244.520676692679,NOR
17,289.87261416605827,286.246470467885,NOR
18,152.80607710866428,153.2840403343942,COL
19,159.79168227772035,145.81850386511155,NOR
20,135.69075947582638,130.11328837378795,NOR
21,226.5600036832368,211.06424443106934,NOR
22,248.86791534488438,243.9518893852497,NOR
23,233.92192038780385,226.36466261915328,NOR
24,283.71088370022534,271.63486149829913,NOR
25,,300.140626,COL
