Minisector,HAD,BEA,Fastest
0,287.6609683390899,285.80208282190875,HAD
1,304.05829753953935,302.7630786074074,HAD
2,300.26041106830996,300.7261236801832,BEA
3,203.72241385689293,199.25882514459863,HAD
4,236.54590795147166,232.93709493216116,HAD
5,223.9457533511111,222.64042967836735,HAD
6,207.24208763994417,212.69444267354837,BEA
7,232.83344417668937,230.5924222625185,HAD
8,269.3471033927828,265.04634050556473,HAD
9,268.07070980392155,263.6979686305419,HAD
10,180.10518937866124,174.05469140656086,HAD
11,235.33853965366254,237.02879969956427,BEA
12,119.31431130270333,118.24645821049809,HAD
13,222.84464073611468,222.91310557206552,BEA
14,277.85389436449043,277.38613226099557,HAD
15,290.157638557135,285.88418350994283,HAD
16,213.71758065519836,214.24281057873984,BEA
17,190.9537465278788,187.92058366046533,HAD
18,268.1890563821708,268.1163074985538,HAD
19,293.37638772385185,291.38585735945577,HAD
20,304.46258116074074,301.3384179720977,HAD
21,304.7755655298124,301.73211231122656,HAD
22,274.4922430286266,269.2601768969453,HAD
23,121.85185466980452,120.3555268629483,HAD
24,247.36349535838983,241.6408107754882,HAD
25,273.44166613333334,272.9624992,HAD
