Minisector,LEC,HAD,Fastest
0,279.7316376421053,276.3257936507936,LEC
1,120.3827322235722,118.8209216222374,LEC
2,162.20038947860317,154.5468822843823,LEC
3,198.12594367175345,206.20107323232324,HAD
4,157.51933904155842,165.43798076923076,HAD
5,228.64607764391053,239.28645181978516,HAD
6,181.1606312165419,209.89358148418705,HAD
7,131.72416109518224,133.50850418871252,HAD
8,239.70822465561906,239.50073353091352,LEC
9,286.38572300273773,283.18515625,LEC
10,271.41016932712387,282.4462932900433,HAD
11,149.33315300628973,153.51487478329673,HAD
12,227.5131795474286,223.9263157894737,LEC
13,277.0468585057143,275.39070751630004,LEC
14,263.15023851797594,251.84576719576722,LEC
15,102.18656710528893,103.47280922466236,HAD
16,230.37179136459332,227.9899328526809,LEC
17,293.2820027238095,288.2073305432099,LEC
18,322.6418849225927,313.4811011904762,LEC
19,334.4371180711111,319.9430803571429,LEC
20,331.6570392292571,313.5020685009705,LEC
21,284.54649134508895,289.2295093795094,HAD
22,149.70618521565657,160.43925345061658,HAD
23,238.80657676374335,237.94190712342487,LEC
24,297.43541684705883,281.2851587301587,LEC
25,311.0863639272727,286.0,LEC
