Minisector,HAM,BOT,Fastest
0,291.2101730978355,288.81907527249746,HAM
1,300.208458562406,297.77242082696966,HAM
2,305.10952379348373,303.00187977944864,HAM
3,303.0184210526316,305.9050438736842,BOT
4,179.66512336500148,193.10295893333333,BOT
5,221.09095238095236,228.04475326105353,BOT
6,242.78040338778735,257.22833397398784,BOT
7,270.6031178376417,274.581547784127,BOT
8,263.0627696197012,269.2139840710834,BOT
9,170.76811290746957,178.0517493904762,BOT
10,233.86900036266667,236.97554630934337,BOT
11,140.1856248407939,142.55750050666666,BOT
12,229.76170187408596,227.73583388626116,HAM
13,196.1084868374808,205.77894000656815,BOT
14,226.41376478905514,223.8752739801144,HAM
15,249.374689510559,258.45955623188405,BOT
16,265.8681818181818,270.0158126874383,BOT
17,285.9200548689439,289.0367848399713,BOT
18,130.18840572753624,133.99569140717296,BOT
19,168.84672146190002,170.8147138420168,BOT
20,151.98732308352487,157.0819929759999,BOT
21,165.78506802721088,169.50584667338936,BOT
22,120.78711691287646,121.97571585913806,BOT
23,230.86810083453693,232.93412242168404,BOT
24,271.11071418049886,274.05776518787883,BOT
25,283.13749973333336,,HAM
